Point in Time[s],Energy Consumption[kWh]
9.999999999999998,2.844444444444443E-4
19.999999999999996,7.585185185185182E-4
29.999999999999993,8.533333333333328E-4
39.99999999999999,0.0013274074074074065
49.99999999999999,0.0014222222222222212
59.99999999999999,0.001896296296296295
69.99999999999999,0.0019911111111111093
79.99999999999999,0.002465185185185183
89.99999999999999,0.002559999999999998
99.99999999999999,0.003034074074074072
109.99999999999999,0.0031288888888888864
119.99999999999999,0.0036029629629629597
129.99999999999997,0.0036977777777777747
139.99999999999997,0.004171851851851848
149.99999999999997,0.004266666666666663
159.99999999999997,0.004740740740740736
169.99999999999997,0.004835555555555551
179.99999999999997,0.005309629629629624
189.99999999999997,0.005404444444444439
199.99999999999997,0.005878518518518512
209.99999999999997,0.005973333333333327
219.99999999999997,0.0064474074074074
229.99999999999997,0.006542222222222215
239.99999999999997,0.007016296296296289
249.99999999999997,0.007111111111111103
259.99999999999994,0.007585185185185177
269.99999999999994,0.007679999999999991
279.99999999999994,0.008154074074074064
289.99999999999994,0.008248888888888879
299.99999999999994,0.008722962962962953
309.99999999999994,0.008817777777777766
319.99999999999994,0.00929185185185184
329.99999999999994,0.009386666666666654
339.99999999999994,0.009860740740740729
349.99999999999994,0.009955555555555542
359.99999999999994,0.010429629629629617
369.99999999999994,0.01052444444444443
379.99999999999994,0.010998518518518505
389.99999999999994,0.01109333333333332
399.99999999999994,0.011567407407407393
409.99999999999994,0.011662222222222206
419.99999999999994,0.01213629629629628
429.99999999999994,0.012231111111111095
439.99999999999994,0.012705185185185168
449.99999999999994,0.012799999999999983
459.99999999999994,0.013274074074074056
469.99999999999994,0.013368888888888871
479.99999999999994,0.013842962962962946
489.99999999999994,0.013937777777777759
499.99999999999994,0.014411851851851832
509.99999999999994,0.014506666666666647
519.9999999999999,0.014980740740740722
529.9999999999999,0.015075555555555537
539.9999999999999,0.01554962962962961
549.9999999999999,0.015644444444444423
559.9999999999999,0.016118518518518497
569.9999999999999,0.01621333333333331
579.9999999999999,0.01668740740740738
589.9999999999999,0.0167822222222222
599.9999999999999,0.01725629629629627
609.9999999999999,0.017351111111111085
619.9999999999999,0.01782518518518516
629.9999999999999,0.01791999999999997
639.9999999999999,0.018394074074074045
649.9999999999999,0.01848888888888886
659.9999999999999,0.01896296296296293
669.9999999999999,0.019057777777777746
679.9999999999999,0.01953185185185182
689.9999999999999,0.019626666666666633
699.9999999999999,0.020100740740740704
709.9999999999999,0.020195555555555522
719.9999999999999,0.020669629629629593
729.9999999999999,0.02076444444444441
739.9999999999999,0.021238518518518483
749.9999999999999,0.021333333333333294
759.9999999999999,0.021807407407407366
769.9999999999999,0.021902222222222184
779.9999999999999,0.022376296296296255
789.9999999999999,0.02247111111111107
799.9999999999999,0.022945185185185145
809.9999999999999,0.023039999999999956
819.9999999999999,0.023514074074074028
829.9999999999999,0.023608888888888846
839.9999999999999,0.024082962962962917
849.9999999999999,0.02417777777777773
859.9999999999999,0.024651851851851803
869.9999999999999,0.024746666666666618
879.9999999999999,0.02522074074074069
889.9999999999999,0.025315555555555508
899.9999999999999,0.02578962962962958
909.9999999999999,0.02588444444444439
919.9999999999999,0.02635851851851847
929.9999999999999,0.02645333333333328
939.9999999999999,0.02692740740740735
949.9999999999999,0.027022222222222166
959.9999999999999,0.02749629629629624
969.9999999999999,0.027591111111111052
979.9999999999999,0.028065185185185127
989.9999999999999,0.028159999999999942
999.9999999999999,0.028634074074074013
1009.9999999999999,0.02872888888888883
1019.9999999999999,0.029202962962962903
1029.9999999999998,0.029297777777777714
1039.9999999999998,0.02977185185185179
1049.9999999999998,0.029866666666666604
1059.9999999999998,0.030340740740740675
1069.9999999999998,0.03043555555555549
1079.9999999999998,0.030909629629629565
1089.9999999999998,0.031004444444444376
1099.9999999999998,0.03147851851851845
1109.9999999999998,0.03157333333333326
1119.9999999999998,0.03204740740740733
1129.9999999999998,0.03214222222222214
1139.9999999999998,0.03261629629629621
1149.9999999999998,0.032711111111111024
1159.9999999999998,0.033185185185185095
1169.9999999999998,0.03327999999999991
1179.9999999999998,0.03375407407407398
1189.9999999999998,0.03384888888888879
1199.9999999999998,0.03432296296296286
1209.9999999999998,0.03441777777777767
1219.9999999999998,0.03489185185185174
1229.9999999999998,0.034986666666666555
1239.9999999999998,0.035460740740740626
1249.9999999999998,0.03555555555555544
1259.9999999999998,0.03602962962962951
1269.9999999999998,0.03612444444444432
1279.9999999999998,0.03659851851851839
1289.9999999999998,0.0366933333333332
1299.9999999999998,0.037167407407407274
1309.9999999999998,0.037262222222222086
1319.9999999999998,0.03773629629629616
1329.9999999999998,0.03783111111111097
1339.9999999999998,0.03830518518518504
1349.9999999999998,0.038399999999999844
1359.9999999999998,0.03887407407407392
1369.9999999999998,0.038968888888888734
1379.9999999999998,0.0394429629629628
1389.9999999999998,0.03953777777777761
1399.9999999999998,0.04001185185185168
1409.9999999999998,0.04010666666666649
1419.9999999999998,0.04058074074074056
1429.9999999999998,0.040675555555555375
1439.9999999999998,0.04114962962962944
1449.9999999999998,0.04124444444444425
1459.9999999999998,0.04171851851851833
1469.9999999999998,0.04181333333333314
1479.9999999999998,0.042287407407407204
1489.9999999999998,0.042382222222222016
1499.9999999999998,0.04285629629629609
1509.9999999999998,0.0429511111111109
1519.9999999999998,0.04342518518518497
1529.9999999999998,0.04351999999999978
1539.9999999999998,0.04399407407407385
1549.9999999999998,0.044088888888888664
1559.9999999999998,0.044562962962962735
1569.9999999999998,0.044657777777777546
1579.9999999999998,0.04513185185185162
1589.9999999999998,0.04522666666666643
1599.9999999999998,0.0457007407407405
1609.9999999999998,0.04579555555555531
1619.9999999999998,0.04626962962962938
1629.9999999999998,0.046364444444444194
1639.9999999999998,0.046838518518518266
1649.9999999999998,0.04693333333333308
1659.9999999999998,0.04740740740740715
1669.9999999999998,0.04750222222222196
1679.9999999999998,0.04797629629629603
1689.9999999999998,0.04807111111111084
1699.9999999999998,0.04854518518518491
1709.9999999999998,0.04863999999999972
1719.9999999999998,0.049114074074073796
1729.9999999999998,0.04920888888888861
1739.9999999999998,0.04968296296296267
1749.9999999999998,0.049777777777777484
1759.9999999999998,0.050251851851851555
1769.9999999999998,0.050346666666666366
1779.9999999999998,0.05082074074074044
1789.9999999999998,0.05091555555555525
1799.9999999999998,0.05138962962962931
1809.9999999999998,0.051484444444444125
1819.9999999999998,0.0519585185185182
1829.9999999999998,0.05205333333333301
1839.9999999999998,0.05252740740740708
1849.9999999999998,0.05262222222222189
1859.9999999999998,0.05309629629629596
1869.9999999999998,0.05319111111111077
1879.9999999999998,0.053665185185184844
1889.9999999999998,0.053759999999999655
1899.9999999999998,0.054234074074073726
1909.9999999999998,0.05432888888888854
1919.9999999999998,0.05480296296296261
1929.9999999999998,0.05489777777777742
1939.9999999999998,0.05537185185185149
1949.9999999999998,0.0554666666666663
1959.9999999999998,0.055940740740740375
1969.9999999999998,0.056035555555555186
1979.9999999999998,0.05650962962962926
1989.9999999999998,0.05660444444444407
